surveyId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
47008,1086,544,7115,5832,2753,10762,53,11140,5124,10896,10073,5739,5398,380,694,3510,9317,3838,178,9376,4748,9024,1497,2883,5166,249
48669,544,6788,8807,963,8573,5335,1986,7322,2025,10896,53,8637,1539,8947,8208,7999,9647,2142,6685,10073,1424,9636,3722,8542,2885,811
50057,2753,7588,3744,6067,10904,8237,6611,838,1999,7006,6759,1066,7580,6603,2492,4532,6968,2082,262,5483,3419,708,8473,5630,3451,8316
54076,8673,6759,7588,4169,10051,5434,5412,4755,9388,8316,708,9610,1254,3958,5543,634,10684,10904,8811,6611,3096,1066,2569,9873,822,8926
54193,6497,6407,9256,5068,4267,2184,8992,9406,4997,6805,10648,4712,10404,7820,1445,11012,9323,96,1134,8164,8743,7471,2644,2630,2762,2786
56496,6788,2474,1888,2783,2570,53,1139,8424,8807,963,6689,9647,10664,5860,1758,9190,4871,1964,10315,5745,7040,2142,8770,3581,8573,8208
63918,3161,4748,6603,1818,469,3451,10904,183,7748,1092,5557,5543,10073,3462,5483,1705,1497,1525,3639,8632,9165,1018,890,6067,1231,4512
64178,2474,9647,1276,6788,9669,8503,8208,5412,10247,5542,2885,10071,3020,10315,6118,2678,3581,9636,6925,3935,8705,8512,3177,5071,7322,1910
68034,6603,2248,6611,3451,3639,5166,7588,1015,5557,8237,1254,5543,10073,53,2025,4263,2949,394,1131,3161,694,4854,9892,4748,9881,9555
69099,2474,9647,5542,6331,1539,9261,9957,11198,981,1497,5335,146,7536,8807,10073,2753,3161,4871,6909,9766,1254,10497,7706,8782,1910,5557
72786,8106,9766,7742,5704,3096,3596,6446,7423,146,2949,1092,9261,2474,7706,4755,986,9465,6384,2019,11157,3494,5832,4397,9024,222,6759
83363,53,9647,1707,8275,9669,10247,2474,6788,7666,7322,544,976,8807,8428,6118,6708,9028,2025,5745,7999,7760,1495,10896,4871,963,9785
86085,6603,2145,5557,3438,1086,10463,10073,1254,8106,8431,2474,3958,4149,351,5543,462,4758,6002,3662,4043,2082,7972,8424,11195,6509,5305
89854,6788,10315,2474,9647,1888,1201,8208,10956,963,1276,799,2250,10247,5542,3177,1654,5071,3457,4342,2678,2885,11176,9669,10991,1910,5403
102099,8477,10600,6254,4109,4590,4207,2516,11012,2951,7706,5850,2630,4997,8329,3740,7621,4157,8180,5055,129,96,4712,2210,6277,5218,6475
103942,6788,8424,10385,10307,5173,2776,7824,11120,4202,9261,2474,6883,8673,7862,2490,7708,10991,10073,9568,1254,4755,8751,6689,7805,8807,9190
107805,423,3722,11140,3236,7121,9024,9465,9816,6883,540,4499,11195,9076,8818,10073,7739,9376,8431,5804,7115,1170,7617,8760,11054,4628,9707
111408,8751,6759,7742,3043,6788,2747,1254,11120,2776,1139,5832,4202,5412,1092,10315,7707,6827,8208,2810,5630,6487,6925,6689,8351,8673,8917
119104,8106,7742,986,4917,1705,9415,9766,8542,7423,6446,2949,222,2019,6331,1497,7706,3596,2776,10367,4748,9711,6689,2733,2194,11120,694
121119,2767,7552,9456,2799,8428,6407,6053,3211,8806,460,10772,2322,4105,4337,6370,9660,2774,7532,3591,4109,651,514,7471,10155,6805,10600
122269,2025,9962,53,8573,8807,9028,7999,2142,976,5383,1707,4558,2885,8949,5757,10073,3792,3597,9892,9669,6788,9647,843,10896,5656,8428
126223,8807,6788,9647,7536,5335,6685,146,963,8208,1276,5412,53,10427,3958,544,799,1254,1170,7666,2474,1162,1746,694,10896,6067,10664
130131,423,3451,53,6497,9465,299,11140,1746,7115,10367,5804,601,2844,6827,5895,10427,799,9024,8807,3098,3510,8760,4862,9376,1525,7052
130908,6358,7871,5557,351,6759,6603,11140,5398,4758,12,8316,4748,462,4258,2145,5543,10073,8760,3639,3462,7588,4755,9921,262,1018,2753
132909,10600,7621,6108,4590,8180,4109,4207,7471,10644,1050,10180,2630,3740,2951,3451,7532,6919,5053,2795,6277,6497,129,7524,5850,790,4997
149333,10956,10315,9647,799,6788,2474,10247,1276,10683,5745,1201,8858,8208,9669,4342,963,10896,5542,7322,10071,544,4871,3457,8424,1888,976
152639,8542,1014,4404,2891,11140,5557,2514,2145,351,5301,10281,1051,3451,6374,5543,9452,148,7241,9555,3977,2665,10522,6321,7061,5901,8412
154400,2474,9647,6788,8208,4609,10247,1888,2788,2142,1139,5412,981,8807,9388,963,10385,7536,146,4238,8770,6989,976,8573,6925,811,10600
154748,6759,8751,5832,1139,11120,10762,6788,963,10315,7742,7824,8807,10904,5412,8208,4202,569,2810,8673,3043,1254,53,10367,9261,6920,1497
170978,9024,96,2184,1054,5804,1064,9028,1629,3234,3597,9892,3591,9962,11068,8428,5757,3722,5602,3979,924,6497,9660,7121,10823,4712,1015
171447,11140,694,10073,4748,4397,1818,2753,1086,9024,53,9376,7115,544,2949,423,7121,249,5124,10896,6883,10317,30,5398,569,5149,2733
177166,2949,4397,1818,4862,651,1162,5804,544,249,2799,53,167,9024,694,10317,6558,423,1086,2762,10772,6343,8428,4640,11012,10969,10427
189917,6603,6358,9714,1015,1086,5557,5543,469,7871,6611,3639,10073,4748,8673,4734,9317,11140,2248,3451,8316,2516,5255,4105,10904,6067,8983
195442,96,7552,9256,10317,9660,2211,8590,9024,6407,8806,9076,5804,3722,1964,8949,4105,423,651,10255,11012,8714,10427,8818,8428,7986,7097
199454,2474,4871,4758,5173,3177,4755,9647,10684,6788,9388,8807,10385,462,8424,7322,4341,9480,1758,6067,8208,2142,6925,3958,1092,4169,8106
211630,1497,1092,469,5557,4748,9317,5483,1015,6611,10073,3451,11140,1018,9024,9881,3639,6603,5543,9795,6759,7871,1818,423,890,5398,10953
223917,6603,10073,6358,8673,1015,10904,5557,3451,6002,1018,7871,9714,8098,8316,2248,1086,8806,477,3639,1092,7559,9143,1162,4748,4105,6759
224698,6079,419,3722,6491,8409,8747,2250,10113,9670,8632,540,9076,9024,8224,1497,10317,9707,6331,958,6119,11198,5420,8760,5557,1757,2110
227543,963,8807,544,9669,3792,2398,843,2025,509,8573,2885,2783,5114,5542,8949,3581,11178,7999,9707,11176,8637,6788,53,9647,9028,10800
231068,53,6788,10247,7666,8807,2025,976,8275,6571,544,9647,7322,3092,394,4871,11195,1707,6118,10896,5149,7640,6444,9244,9707,5745,10023
233262,53,423,6497,4202,5804,6827,5895,1525,9024,601,469,8807,3451,10427,2891,3510,4707,5832,569,9881,1746,249,544,7121,4748,1424
234201,7621,10828,2630,10648,6748,11241,6497,10056,2786,96,1678,8743,6919,4157,6805,4712,7820,6424,5068,4638,51,8806,4207,7471,1226,4109
241480,963,2025,53,3479,8807,4202,7742,9669,9647,6788,6708,5335,7403,8106,4946,9873,5173,10427,843,976,1254,544,5542,6827,10452,9766
254993,6788,2474,146,5335,9647,4871,53,8208,8807,2570,7862,799,1964,10896,1888,1539,6925,7706,4609,6574,10684,694,10247,2109,9261,963
257130,8428,9465,1818,4748,4397,651,9256,3722,249,5804,4640,9376,7613,9524,4105,1054,10317,423,9024,5895,2949,167,11012,5293,1162,8746
259886,2753,3744,10904,1066,6067,8237,9714,838,7580,6603,3451,6611,1999,7006,2492,6968,7588,11140,5483,2248,3419,4532,262,10143,5557,1086
266474,6497,10648,2630,790,6755,2786,7621,6424,7471,3211,8397,7076,10422,8163,96,4590,10404,4686,6748,7768,9040,5603,9256,3721,5068,485
269734,423,10073,5804,53,7121,5398,544,1162,1086,2753,11140,2891,380,8818,8106,7115,890,9465,601,9024,9317,3451,5218,10904,1015,10317
269753,1254,1092,6788,6759,8351,7742,6487,5146,10315,1139,2776,8424,8751,11120,6925,6067,6689,2747,10904,4755,9878,8208,3457,3993,4758,5832
280004,1226,7532,8428,2184,5196,4946,4590,963,7255,2587,4483,9256,4997,6444,7862,2762,2142,11012,6245,6352,5804,10268,4207,8949,7746,8782
284833,96,7552,9024,10317,3722,10255,1288,11140,4707,1818,4748,694,7121,8818,423,249,2777,8590,7115,8746,10073,9376,9465,6497,5804,651
287158,2799,2184,6407,11012,8806,6405,6053,10404,4337,96,10600,2762,4109,7687,4590,2322,514,5803,3211,460,5602,7532,8428,2830,7471,4997
299764,5557,6603,3161,4748,1818,10073,3451,8632,890,7748,1497,3639,469,3462,1018,1705,9957,5483,8508,1092,1015,7871,1254,11140,1525,10904
300601,6603,1015,4258,7871,3451,10255,4758,6358,5804,9892,2891,351,1818,9024,2145,4748,514,462,5189,262,423,7588,6091,3533,8428,7742
302885,6759,4202,10315,8751,6788,7742,8208,11120,10904,963,5630,10367,9563,7824,5832,569,3309,8673,10047,3457,6487,10452,5412,9261,3043,3993
312925,477,8383,2949,5398,5764,8106,11140,9881,7990,10073,4748,6440,2891,1018,3236,6686,8431,1086,10595,2474,8818,4499,423,4397,4758,7040
316626,8542,11140,1014,4404,2145,2514,10281,2891,10073,8746,8660,9452,351,2753,5557,10904,9555,148,7241,5212,5543,3451,2490,9158,5901,462
318355,53,6788,8807,2474,2570,9647,1707,5745,6925,694,6208,10315,544,5166,7666,8208,2025,2564,10762,10073,2885,146,1654,9669,8217,3916
324843,6759,7742,4202,8751,5832,10904,963,3043,1254,11120,8673,53,10762,6446,9563,1139,8807,10315,4734,6788,9957,8351,8208,4640,7707,5166
339260,9647,53,6788,8807,1888,2474,10247,4871,3581,981,4558,963,10315,6989,5542,544,2398,3177,4609,146,10896,3792,8208,1378,9669,9261
339270,9024,423,5804,408,9465,5832,10317,10255,3451,178,11012,10904,694,299,601,8428,4748,10367,6252,10427,53,2211,2644,8751,7972,11140
346395,2753,3744,10904,6067,8237,838,1999,6611,6759,1066,7006,7588,7580,6603,2492,6968,2082,4532,262,5483,3451,3419,708,8473,5630,10082
350480,2474,8673,8106,5412,6759,8208,6925,9261,1092,8431,1254,6208,5557,9388,8316,6002,868,8383,9873,8806,7588,2492,2783,10904,10073,7536
352082,9766,3177,868,7147,8208,7871,1497,8237,8106,9873,7742,7121,3958,5374,7837,2492,6925,9190,9126,4043,5412,6067,5704,10684,6909,1910
356665,6759,4202,8673,8751,3043,2474,7742,5412,1092,10315,11120,6788,1851,9568,963,1139,10307,8807,6925,1254,6689,9563,9261,5832,9190,2747
361210,9024,423,9376,5804,6498,11012,11054,10317,3722,9660,3451,10600,7972,1162,8782,2799,4991,1964,7121,2949,10073,2767,6775,4748,2644,601
363064,8807,2025,963,8573,843,7746,544,53,8428,5542,1226,8705,5114,3792,6788,5403,7999,9317,8307,2783,4748,392,3098,2398,1882,8549
366812,423,11140,9376,1497,5804,2776,6759,249,1254,694,469,9465,7121,9024,6883,1139,5166,6920,1818,4748,10047,9261,6788,8542,4640,7748
392086,6759,11120,3043,1254,8673,8208,5832,10904,8751,7742,10762,10991,4202,6788,569,963,1139,8807,3309,6827,544,4734,53,8806,6487,9647
397557,10948,10463,5557,10868,4758,8351,6603,462,12,5543,634,4755,8033,5704,8106,617,7990,3662,8316,222,2474,9873,3838,2840,2145,8431
401936,2142,8807,96,5757,976,5804,4991,8428,4317,1162,7760,53,9256,2184,3597,2025,7640,11248,3722,7666,7746,3234,2949,5114,5832,9669
405731,963,9647,8807,6788,8573,1654,53,4112,890,5114,8428,7706,1805,10268,8947,843,7760,2885,8208,4483,6388,2025,9669,544,10247,9028
406434,1746,4202,963,6827,6497,2810,423,53,569,5022,5804,8807,1525,5832,10427,9376,6788,7115,8818,694,9465,4397,8424,2025,8229,9024
412094,8751,7742,6788,5832,6759,8208,10315,8673,9261,4202,1851,963,11120,2747,10307,3309,1254,6827,53,1139,9647,10385,2810,4640,9563,6925
413118,4558,53,2025,10073,5557,5543,3639,11140,9376,9563,509,4734,10367,7137,9921,9465,9669,8806,7807,1497,9766,1092,1139,1818,6759,262
415589,843,8275,9024,6407,5757,2142,10238,7552,6444,8229,53,8806,10427,4734,6143,8428,11012,976,10761,3451,4558,10404,4008,4109,9669,10317
416653,6171,6497,10904,7706,2951,7746,2630,1226,4712,2210,8573,3234,8673,7621,4958,8807,4997,2025,4317,11012,1539,8751,53,1295,8307,8217
422791,6171,7706,10904,8673,6002,2025,8542,4207,8818,1539,9415,843,3696,9253,384,4997,7322,4958,8307,5218,53,8949,3043,10102,5068,8751
431722,423,1497,392,11140,249,2783,1254,2776,10385,6759,5124,5804,7748,5832,4748,10367,8275,7742,469,9261,10525,569,9465,10762,694,5146
435206,5557,838,262,10904,6611,3744,1015,7588,6603,1092,9555,1018,2492,6067,9317,3451,7906,10051,5483,5543,3419,351,3803,6759,9714,3438
437768,2025,6444,5542,6588,544,1162,6171,8428,7706,4105,10073,7137,53,1539,10811,2762,1882,1226,4748,8818,4924,10268,1054,10762,5398,8281
453096,1015,8316,1086,3639,5557,6358,8673,10073,6603,469,9317,1018,9714,1497,5255,7706,6208,10904,4748,3451,10315,5543,7871,423,7588,9143
458837,8573,2025,963,5542,5335,6788,544,843,53,10427,4871,7666,9647,9190,2796,1497,3358,1654,6551,6384,5093,6685,9028,694,6388,3792
463172,11140,2665,2514,6374,4404,2891,2145,3451,10231,2373,148,5557,1014,10382,5451,9787,10522,5901,2753,8542,5212,1407,5543,10281,1404,8067
467868,423,5184,5804,2891,7121,53,10073,9465,249,10896,1086,10367,6788,8106,11195,4499,39,5149,10927,6497,7660,7617,2783,3161,1818,1170
468476,2474,8106,8503,300,8208,10684,2949,10073,5173,1092,9465,9261,9873,6603,7706,4169,1131,10525,4202,8098,9388,4397,6827,3177,9710,9766
470711,53,976,2025,9647,8807,7640,6788,544,1707,713,3092,2885,8542,8949,7666,7807,5551,10896,3885,843,5932,4871,8217,6708,7047,8428
481269,8542,1014,2514,2145,4404,10281,2891,11140,5301,5557,3451,9452,1051,351,7241,148,5543,1028,5901,9555,6374,2665,10522,6321,7061,10382
481304,9610,1497,7706,1882,8412,1818,8818,11242,4207,6002,6171,9415,8746,8297,1539,6759,3043,10904,4105,8149,4924,1162,2767,6685,8542,1254
494115,96,7552,10317,9256,9024,8590,1964,6498,3722,423,4105,8573,5602,7471,6407,249,6497,2211,1818,7739,5804,9660,8746,4817,9376,8806
499342,10772,8428,9456,7552,7532,9256,11012,10155,5803,96,6407,7121,10255,5602,10317,8806,9694,2799,10600,9376,8590,3068,9660,4862,2322,5932
502532,53,6788,10247,9647,963,2474,8807,10315,5542,8428,8573,1888,2398,9669,5335,6925,2142,976,981,10896,10385,1986,146,6989,8637,2025
505911,5557,4149,8106,9795,2747,10948,986,3958,6603,1086,9261,5305,4758,457,9873,2474,10463,8351,5412,4043,6384,462,1254,2361,9878,6491
508123,963,10600,1495,9669,2398,5542,10683,10071,5071,8428,1888,958,11176,843,8801,4609,3885,2025,8512,976,9424,10247,1497,1276,5189,1378
512107,8807,53,8208,6788,8573,2025,2570,544,146,8424,10073,4871,9647,9636,8508,6925,976,9863,2783,2474,8947,8983,5149,2177,3358,1525
521470,1497,4748,5557,469,10073,1015,1018,9024,3451,11140,1092,3639,2110,5543,6603,3462,7871,579,7559,423,4707,5398,5483,9317,1818,694
522144,5557,6603,3161,4748,1092,10073,3451,1497,1018,469,7871,1254,5543,5483,6759,8632,7748,3639,1818,6358,3462,8316,890,1015,183,11140
533415,963,9647,6788,694,2474,1888,544,5542,8573,4871,53,4854,8208,5335,10896,8637,10800,7999,3581,1497,7760,1889,3885,8807,6989,10904
537508,7552,96,9256,6497,10317,8428,10155,3722,9376,9024,4337,8590,423,6407,11012,5055,8281,6405,651,2777,10255,4997,7566,9892,7121,11068
540111,4748,1254,2776,4755,6883,5149,3181,5301,10904,5146,10073,10948,10385,7580,2109,8807,6446,262,8351,9957,2891,6002,92,7115,5630,838
542380,9076,9024,3722,254,1818,11140,4397,6079,7121,3161,1139,167,10762,5771,10621,540,10317,249,6119,7115,1086,9399,2250,1497,7566,96
553028,6171,1539,4207,7706,7817,9415,3696,1497,2885,8818,9694,4331,5173,7566,8751,10155,544,1226,477,6407,9465,6079,8673,1276,8229,96
555438,8106,7990,2474,4397,4748,4558,8383,2949,10073,4560,10315,477,509,423,6440,9669,10427,53,5173,10525,1018,2891,1092,5398,4917,11140
556740,868,2747,1497,3177,8237,9766,8208,6491,8106,694,7871,8424,2492,5374,7121,6925,7742,6909,5412,9126,7147,8340,4202,3958,10315,4758
567504,8573,963,5114,843,53,8807,6788,2885,2025,10073,7706,544,6551,3098,1497,5832,3722,5542,7760,9647,4558,9669,10268,3792,6685,10762
589665,6358,7871,6603,8806,3639,4758,3451,1015,6759,8316,1497,601,1139,6611,2145,9341,351,262,4748,4258,9957,423,6048,4105,11140,8431
596177,6358,7871,6603,4758,3639,601,6759,5557,4748,5398,9376,8806,4258,1015,1018,262,3462,6611,8316,351,694,4216,11115,7588,9341,2145
599768,1276,2474,10956,6788,10315,963,8512,3020,8208,10247,7536,3935,7999,4342,5335,10683,5542,10991,1888,9647,9636,9873,53,8705,799,1201
608765,2949,4397,1818,4862,651,1162,5804,544,249,2799,53,167,9024,694,10317,6558,423,1086,2762,10772,6343,8428,4640,11012,10969,10427
620026,2753,3744,10904,6067,8237,838,1999,6611,6759,1066,7588,7580,6603,2492,7006,2082,6968,262,4532,3451,708,3419,5483,8473,5630,10082
624803,4558,8428,9669,2398,811,8949,2885,2025,11178,963,9636,1170,8076,6407,10600,8038,9785,5542,2,1054,5149,5114,5093,9424,6254,6877
625646,9647,963,1276,10600,544,9636,7755,2678,7942,8705,8512,5335,4341,6788,10896,1497,5071,5412,7999,7536,5173,9669,4871,6118,10247,5542
627233,6759,8751,5832,6788,53,10315,9261,4202,963,10762,7742,4640,1254,1851,10427,694,10904,5739,178,7115,544,9957,11120,569,2398,2474
627970,2762,8806,96,9694,6407,2249,9256,8428,53,4862,6444,7552,2767,11059,2025,8229,6171,5932,7532,544,5383,713,7999,1780,7095,10600
628184,8807,2025,8573,963,10247,5335,53,5542,544,8637,6788,4640,4871,8428,1170,4946,4483,7666,1472,9647,1539,1020,694,10427,7760,3722
635360,1497,10073,469,1015,5483,5557,4748,9881,11140,1092,890,8508,3639,559,6611,9024,9957,9317,423,1018,7040,5398,7871,3722,6603,1705
645911,6788,146,9873,8424,8208,1497,6685,5335,6689,1539,8782,1254,9647,10427,799,963,7706,5412,9261,1276,10268,4238,10367,5542,10664,8760
646486,6358,7871,8806,4758,6603,351,1015,3639,4258,6611,3451,8316,6759,5543,1139,601,2145,5398,262,9376,6298,1497,10953,557,544,4748
654616,53,8807,963,6788,2788,2474,5403,5542,2025,4483,2142,5932,4609,7640,3792,9190,8428,6143,8573,8424,4558,7999,976,11176,8208,5832
666075,10073,10051,222,9427,10452,1254,634,5557,423,9376,1869,4169,10315,7571,8106,11140,4149,9707,2703,1497,8508,8431,1018,2552,544,9630
669898,11140,9024,10073,8818,1288,5804,7121,8632,96,1818,423,7552,7559,3722,10317,10763,9076,8590,7880,2490,9376,2723,540,4499,2322,5764
678507,6497,963,53,5022,5804,8807,423,4748,6827,601,469,10427,2810,569,2799,4202,1746,3510,9465,1424,1015,299,10545,11140,1818,5895
681781,11120,10367,4609,6759,2337,10452,1497,5542,6827,8237,4946,4758,5071,8428,2002,2783,2025,5832,323,963,10427,4871,6686,4202,2474,9465
686279,10073,10316,8428,7566,4207,6497,2587,4317,1497,7706,10155,8818,10059,2885,9610,9143,9415,7817,9694,5149,4991,1234,8038,1134,11012,2796
690698,6788,10762,5832,10315,1254,5739,2883,2810,167,8751,5166,6446,7824,9261,10899,10073,9439,10904,2921,3722,10047,1288,7748,254,550,5071
701308,3722,9399,1497,5557,9024,1018,2145,8746,1086,4558,12,477,8237,5764,6903,9465,10073,2025,843,5149,423,9921,8818,10317,6091,8383
707898,963,8751,4202,10315,7742,6759,8807,2810,5832,6788,2883,8208,1254,8673,10904,10762,10367,4640,6708,9261,53,6827,7824,1139,5166,6446
714827,838,10904,1066,6611,6002,10073,9707,6574,6759,634,5400,4532,10896,2492,8237,3958,6067,9714,1051,8098,9881,5739,7571,8473,7588,469
740434,5068,6748,4207,2630,11241,2786,7621,96,6497,1295,4109,924,7471,8743,10648,5196,4551,6424,6352,2184,4157,10600,1226,8412,4463,1710
742700,4175,11140,3177,9881,8424,10073,6883,7121,9261,6487,4755,7837,6440,423,10991,5804,3123,10385,1818,3020,8431,5146,2474,2490,6788,4734
743282,1539,6788,8208,10600,7706,3722,9261,5412,7536,5166,9636,8573,10073,963,1276,11140,8424,6079,1201,1654,6909,10684,9647,5071,9028,249
746646,53,4102,6079,9024,1018,1131,4512,7739,1086,1525,4748,423,9376,6686,5542,8428,2025,976,10255,1964,4499,2322,1497,5374,5936,7121
751545,6759,11120,8751,10315,53,7742,9261,5832,4202,178,7115,4640,1851,10762,5739,544,963,8208,3309,10904,8807,6920,1086,3043,694,6788
753152,3039,6407,10648,10828,10404,8992,4686,6497,3197,6424,9040,4551,3722,3211,1970,5317,5981,7621,10422,4463,8806,2630,2830,10683,6352,5804
765317,8106,2474,10684,6925,1254,9873,9190,8208,8237,9376,8806,7706,5173,10073,2492,11140,1092,9158,6091,2840,8760,9465,1999,462,146,4202
766774,8383,4748,8106,477,5398,6440,178,8818,2949,7990,2474,4397,3236,2891,6686,4758,11140,7121,1018,423,5173,10073,9376,5764,8431,469
770265,11140,8542,10904,2145,11230,3451,5901,2514,8746,1028,148,6374,2490,10382,4404,8067,10522,10073,3977,10899,9873,10811,8660,2753,4924,7706
778476,5068,5196,96,9694,7652,7706,9081,10059,6805,6497,5317,4109,4207,2184,7532,4997,6352,4551,4638,6555,10073,11012,1054,423,4397,728
780840,9376,2776,4499,5832,4202,694,6487,249,9076,3309,1677,9028,6827,3236,963,6788,2783,2490,4707,8431,7115,2110,7121,6440,53,178
787055,5804,5068,694,6571,728,10180,4991,11140,1134,4109,8782,53,6805,4105,5196,8217,6497,9024,7746,6407,96,4043,5757,2767,2762,3722
789583,4558,10367,2025,53,8106,1018,10427,9647,509,8383,4499,7755,3639,8806,3236,222,1015,8424,4609,8237,3581,4758,1805,7288,10073,981
791893,6358,7871,6603,5557,2145,3451,4758,1015,8316,8806,11140,351,1139,3639,4748,4258,462,1497,10953,10073,262,6759,8237,6208,10868,1092
795724,262,838,5557,3744,10904,6611,6067,9555,7588,1015,1018,3419,6603,1092,5483,5301,9317,5543,3803,7906,3451,7571,351,2492,9714,3438
797488,11012,423,2799,5486,9524,6497,4734,2184,6498,7972,3451,9024,1134,6775,8782,601,5804,4112,4105,1964,7918,8806,2933,6045,4991,10600
801649,6603,6358,10073,3451,6208,8673,1015,10904,1086,8806,9317,6002,262,1092,8983,1162,8316,3236,2082,1805,6759,9714,6611,477,8098,4924
812653,262,6603,5483,7571,3744,7588,6002,10904,5723,5557,838,1018,6611,11115,4532,3419,8237,2492,7493,3803,8473,3451,6067,1162,7871,7006
818050,6788,8751,5412,11120,8673,1254,2776,1092,7742,3043,8208,8807,10991,4609,2747,10385,7971,6925,8917,4202,6208,5630,10307,963,2810,1472
819266,2665,2514,2145,6374,11140,4404,10231,2373,148,3451,5557,5212,1014,10382,9787,10522,5451,10281,2891,2753,1407,5901,8542,1404,9146,10950
828054,7706,6171,8782,5053,7532,2184,6053,1882,1497,383,7652,10600,9081,4109,4207,10904,6352,10644,3043,6497,1539,681,4551,8307,4238,5832
831614,5068,6748,6497,10648,7621,2630,2786,6424,11241,1295,1678,5196,4207,96,7471,10422,6805,8164,8477,4157,4638,5317,4109,4397,6555,1710
844917,2665,2891,148,2373,5451,6374,10382,2514,8067,2145,4404,11140,9146,10522,5212,10231,5901,7241,9158,9787,10950,5557,3451,1407,1404,1028
847544,53,8807,976,8275,2025,1707,544,7640,6788,6143,8428,9439,11054,6708,9028,8573,4946,9647,7666,7999,3597,1424,2398,10896,2482,5656
849417,6171,2184,5068,7706,10600,6053,2767,4109,1875,8782,2630,11012,4997,8807,6748,3740,843,6405,11241,1295,2396,7532,5218,10255,6498,9723
849683,6407,7706,2799,9256,5981,2650,7076,4991,8992,2767,423,11012,10600,2949,6405,6775,5055,5602,6370,9660,4955,4317,4105,9244,3156,651
851386,2753,3744,10904,6067,8237,838,1999,6611,6759,1066,7588,7580,6603,2492,7006,2082,6968,262,4532,3451,708,3419,5483,8473,5630,10082
866351,6603,6358,10073,1086,7871,5255,9714,6611,3639,5543,1015,4748,5557,10904,469,8983,2248,2949,9317,9165,1970,262,477,2516,8542,6067
867643,7742,3043,11120,8673,1092,1254,6788,6925,2747,2810,10315,9873,3993,6759,8751,1139,8208,4734,1851,3470,8917,9190,9957,544,6384,4202
876437,2474,4871,6925,6788,8424,146,6685,8208,868,5335,8807,1539,1276,10684,9647,2885,9190,8947,6909,694,7536,5412,593,8917,3958,7706
878848,5557,6759,890,9881,3451,4748,10904,10073,1818,1497,1092,3639,1015,3161,6603,2753,469,6067,5483,183,10953,8508,1999,1525,6358,7748
893923,2665,2891,148,2373,5451,6374,10382,2514,8067,2145,4404,11140,9146,10522,5212,10231,5901,7241,9158,5543,9787,10950,5557,3451,1407,1404
901016,10948,5557,10463,10868,9873,4758,5704,12,6603,3662,462,634,5543,4755,8033,2474,8351,8441,8106,222,8316,7990,3838,7871,6079,10525
904105,6171,8782,7706,1226,1882,5053,7746,8307,53,2025,8818,4317,4991,1629,8428,5804,2396,10600,7532,9213,2767,2961,4207,4105,3043,5823
906671,9647,53,6788,8807,963,7999,2474,8208,976,10247,8637,4871,1707,5335,10991,544,146,2025,1888,3177,7760,10896,4558,1424,2570,2885
910938,6603,6358,9714,10073,1086,5543,1015,469,7871,6611,4734,3639,5557,4748,9317,11140,8673,10904,2248,8316,6067,3451,2516,8542,8983,6759
919100,53,963,6497,423,5804,569,8807,6827,4748,4707,5022,10427,1746,469,601,544,1818,6788,5895,2810,1525,1015,4202,3510,1793,10545
